,date,temperature,humidity,luminosity
103,2019-11-22 17:49:55.696,20.3,39.5,0
104,2019-11-22 17:50:05.960,20.4,39.5,0
105,2019-11-22 17:50:16.205,20.3,39.4,0
106,2019-11-22 17:50:26.466,20.3,39.4,0
107,2019-11-22 17:50:36.712,20.3,39.3,0
108,2019-11-22 17:50:46.957,20.4,39.3,0
109,2019-11-22 17:50:57.219,20.3,39.3,0
110,2019-11-22 17:51:07.464,20.3,39.3,0
111,2019-11-22 17:51:17.726,20.3,39.2,0
112,2019-11-22 17:51:27.974,20.3,39.2,0
113,2019-11-22 17:51:38.236,20.3,39.2,0
114,2019-11-22 17:51:48.481,20.3,39.2,0
115,2019-11-22 17:51:58.727,20.3,39.2,0
116,2019-11-22 17:52:08.988,20.3,39.2,0
117,2019-11-22 17:52:19.234,20.3,39.2,0
118,2019-11-22 17:52:29.497,20.3,39.2,0
119,2019-11-22 17:52:39.742,20.3,39.1,0
120,2019-11-22 17:52:49.987,20.3,39.0,0
121,2019-11-22 17:53:00.250,20.3,39.0,0
122,2019-11-22 17:53:10.495,20.3,39.0,0
123,2019-11-22 17:53:20.756,20.3,39.0,0
124,2019-11-22 17:53:31.001,20.3,39.0,0
125,2019-11-22 17:53:41.264,20.3,39.0,0
126,2019-11-22 17:53:51.510,20.3,39.0,0
127,2019-11-22 17:54:01.755,20.3,39.0,0
128,2019-11-22 17:54:12.017,20.3,39.0,0
129,2019-11-22 17:54:22.264,20.4,38.9,0
130,2019-11-22 17:54:32.525,20.3,38.9,0
131,2019-11-22 17:54:42.771,20.3,38.9,0
132,2019-11-22 17:54:53.033,20.3,38.9,0
133,2019-11-22 17:55:03.278,20.3,38.9,0
134,2019-11-22 17:55:13.524,20.3,38.9,0
135,2019-11-22 17:55:23.787,20.3,38.9,0
136,2019-11-22 17:55:34.032,20.3,38.9,0
137,2019-11-22 17:55:44.294,20.3,38.8,0
138,2019-11-22 17:55:54.540,20.3,38.8,0
139,2019-11-22 17:56:04.801,20.3,38.9,0
140,2019-11-22 17:56:15.046,20.3,38.9,0
141,2019-11-22 17:56:25.290,20.3,38.8,0
142,2019-11-22 17:56:35.554,20.3,38.8,0
143,2019-11-22 17:56:45.799,20.3,38.8,0
144,2019-11-22 17:56:56.060,20.3,38.8,0
145,2019-11-22 17:57:06.307,20.3,38.8,0
146,2019-11-22 17:57:16.553,20.3,38.8,0
147,2019-11-22 17:57:26.815,20.3,38.8,0
148,2019-11-22 17:57:37.061,20.3,38.8,0
149,2019-11-22 17:57:47.322,20.3,38.8,0
150,2019-11-22 17:57:57.568,20.3,38.8,0
151,2019-11-22 17:58:07.830,20.3,38.8,0
152,2019-11-22 17:58:18.076,20.3,38.7,0
153,2019-11-22 17:58:28.321,20.3,38.7,0
154,2019-11-22 17:58:38.583,20.3,38.7,0
155,2019-11-22 17:58:48.828,20.3,38.7,0
156,2019-11-22 17:58:59.089,20.3,38.7,0
157,2019-11-22 17:59:09.337,20.3,38.7,0
158,2019-11-22 17:59:19.597,20.3,38.7,0
159,2019-11-22 17:59:29.842,20.3,38.7,0
160,2019-11-22 17:59:40.089,20.3,38.7,0
161,2019-11-22 17:59:50.350,20.3,38.7,0
162,2019-11-22 18:00:00.596,20.3,38.7,0
163,2019-11-22 18:00:10.858,20.3,38.7,0
164,2019-11-22 18:00:21.104,20.3,38.7,0
165,2019-11-22 18:00:31.365,20.3,38.6,0
166,2019-11-22 18:00:41.612,20.3,38.6,0
167,2019-11-22 18:00:51.857,20.3,38.6,0
168,2019-11-22 18:01:02.120,20.3,38.6,0
169,2019-11-22 18:01:12.365,20.3,38.6,0
170,2019-11-22 18:01:22.626,20.3,38.6,0
171,2019-11-22 18:01:32.873,20.3,38.6,0
172,2019-11-22 18:01:43.134,20.3,38.5,0
173,2019-11-22 18:01:53.380,20.3,38.6,0
174,2019-11-22 18:02:03.625,20.3,38.5,0
175,2019-11-22 18:02:13.886,20.3,38.5,0
176,2019-11-22 18:02:24.132,20.3,38.5,0
177,2019-11-22 18:02:34.394,20.3,38.5,0
178,2019-11-22 18:02:44.639,20.3,38.5,0
179,2019-11-22 18:02:54.900,20.3,38.5,0
180,2019-11-22 18:03:05.146,20.3,38.5,0
181,2019-11-22 18:03:15.393,20.3,38.5,0
182,2019-11-22 18:03:25.656,20.3,38.5,0
183,2019-11-22 18:03:35.901,20.3,38.5,0
184,2019-11-22 18:03:46.163,20.3,38.5,0
185,2019-11-22 18:03:56.409,20.3,38.5,0
186,2019-11-22 18:04:06.670,20.3,38.4,0
187,2019-11-22 18:04:16.916,20.3,38.4,0
188,2019-11-22 18:04:27.162,20.3,38.4,0
189,2019-11-22 18:04:37.424,20.3,38.5,0
190,2019-11-22 18:04:47.670,20.3,38.4,0
191,2019-11-22 18:04:57.932,20.3,38.5,0
192,2019-11-22 18:05:08.177,20.3,38.5,0
193,2019-11-22 18:05:18.439,20.3,38.5,0
194,2019-11-22 18:05:28.684,20.3,38.4,0
195,2019-11-22 18:05:38.930,20.3,38.4,0
196,2019-11-22 18:05:49.191,20.3,38.4,0
197,2019-11-22 18:05:59.436,20.3,38.4,1
198,2019-11-22 18:06:09.700,20.3,38.4,0
199,2019-11-22 18:06:19.946,20.3,38.4,0
200,2019-11-22 18:06:30.190,20.3,38.4,0
201,2019-11-22 18:06:40.453,20.3,38.4,0
202,2019-11-22 18:06:50.699,20.3,38.4,0
203,2019-11-22 18:07:00.960,20.3,38.5,0
204,2019-11-22 18:07:11.206,20.3,38.8,0
205,2019-11-22 18:07:21.467,20.3,38.9,0
206,2019-11-22 18:07:31.712,20.2,38.7,0
207,2019-11-22 18:07:41.957,20.2,38.5,0
208,2019-11-22 18:07:52.220,20.2,38.5,0
209,2019-11-22 18:08:02.466,20.2,38.6,0
210,2019-11-22 18:08:12.728,20.2,38.6,0
211,2019-11-22 18:08:22.974,20.2,38.5,0
212,2019-11-22 18:08:33.219,20.2,38.5,0
213,2019-11-22 18:08:43.482,20.2,38.5,1
214,2019-11-22 18:08:53.727,20.2,38.6,0
215,2019-11-22 18:09:03.989,20.2,38.5,0
216,2019-11-22 18:09:14.234,20.2,38.5,0
217,2019-11-22 18:09:24.496,20.2,38.5,0
218,2019-11-22 18:09:34.743,20.2,38.5,0
219,2019-11-22 18:09:44.989,20.2,38.5,0
220,2019-11-22 18:09:55.250,20.2,38.4,0
221,2019-11-22 18:10:05.496,20.2,38.4,0
222,2019-11-22 18:10:15.757,20.2,38.5,0
223,2019-11-22 18:10:26.002,20.2,38.4,0
224,2019-11-22 18:10:36.264,20.2,38.4,0
225,2019-11-22 18:10:46.509,20.2,38.4,0
226,2019-11-22 18:10:56.756,20.2,38.4,0
227,2019-11-22 18:11:07.018,20.2,38.4,0
228,2019-11-22 18:11:17.262,20.2,38.4,0
229,2019-11-22 18:11:27.526,20.2,38.4,0
230,2019-11-22 18:11:37.772,20.2,38.4,0
231,2019-11-22 18:11:48.016,20.2,38.4,0
232,2019-11-22 18:11:58.279,20.2,38.4,0
233,2019-11-22 18:12:08.524,20.2,38.4,0
234,2019-11-22 18:12:18.786,20.2,38.3,0
235,2019-11-22 18:12:29.032,20.2,38.4,0
236,2019-11-22 18:12:39.294,20.2,38.5,0
237,2019-11-22 18:12:49.540,20.2,38.6,0
238,2019-11-22 18:12:59.786,20.2,38.5,0
239,2019-11-22 18:13:10.048,20.2,38.4,0
240,2019-11-22 18:13:20.292,20.2,38.3,0
241,2019-11-22 18:13:30.554,20.2,38.3,0
242,2019-11-22 18:13:40.799,20.2,38.3,0
243,2019-11-22 18:13:51.061,20.2,38.3,0
244,2019-11-22 18:14:01.307,20.2,38.3,0
245,2019-11-22 18:14:11.552,20.2,38.3,0
246,2019-11-22 18:14:21.816,20.2,38.3,0
247,2019-11-22 18:14:32.062,20.2,38.4,0
248,2019-11-22 18:14:42.323,20.2,38.5,0
249,2019-11-22 18:14:52.569,20.2,38.4,0
250,2019-11-22 18:15:02.831,20.2,38.3,0
251,2019-11-22 18:15:13.076,20.2,38.3,0
252,2019-11-22 18:15:23.321,20.2,38.4,0
253,2019-11-22 18:15:33.583,20.2,38.5,0
254,2019-11-22 18:15:43.828,20.2,38.4,0
255,2019-11-22 18:15:54.090,20.2,38.3,0
256,2019-11-22 18:16:04.336,20.2,38.4,0
257,2019-11-22 18:16:14.597,20.2,38.3,0
258,2019-11-22 18:16:24.844,20.2,38.4,0
259,2019-11-22 18:16:35.091,20.2,38.3,0
260,2019-11-22 18:16:45.352,20.2,38.3,0
261,2019-11-22 18:16:55.598,20.2,38.3,0
262,2019-11-22 18:17:05.858,20.2,38.3,0
263,2019-11-22 18:17:16.105,20.2,38.3,0
264,2019-11-22 18:17:26.366,20.2,38.3,0
265,2019-11-22 18:17:36.611,20.2,38.3,0
266,2019-11-22 18:17:46.858,20.2,38.2,0
267,2019-11-22 18:17:57.121,20.2,38.2,0
268,2019-11-22 18:18:07.365,20.2,38.2,0
269,2019-11-22 18:18:17.628,20.2,38.2,0
270,2019-11-22 18:18:27.873,20.2,38.2,0
271,2019-11-22 18:18:38.133,20.2,38.2,0
272,2019-11-22 18:18:48.380,20.2,38.3,0
273,2019-11-22 18:18:58.626,20.2,38.3,0
274,2019-11-22 18:19:08.887,20.2,38.3,0
275,2019-11-22 18:19:19.133,20.2,38.2,0
276,2019-11-22 18:19:29.395,20.2,38.2,0
277,2019-11-22 18:19:39.641,20.2,38.2,0
278,2019-11-22 18:19:49.903,20.2,38.2,0
279,2019-11-22 18:20:00.149,20.2,38.2,0
280,2019-11-22 18:20:10.394,20.2,38.2,0
281,2019-11-22 18:20:20.657,20.2,38.2,0
282,2019-11-22 18:20:30.902,20.2,38.2,0
283,2019-11-22 18:20:41.164,20.2,38.2,0
284,2019-11-22 18:20:51.410,20.2,38.2,0
285,2019-11-22 18:21:01.671,20.2,38.2,0
286,2019-11-22 18:21:11.917,20.2,38.2,0
287,2019-11-22 18:21:22.161,20.2,38.2,0
288,2019-11-22 18:21:32.423,20.2,38.1,0
289,2019-11-22 18:21:42.668,20.2,38.2,0
290,2019-11-22 18:21:52.931,20.2,38.2,0
291,2019-11-22 18:22:03.177,20.2,38.2,0
292,2019-11-22 18:22:13.439,20.2,38.2,0
293,2019-11-22 18:22:23.685,20.2,38.2,0
294,2019-11-22 18:22:33.930,20.2,38.1,0
295,2019-11-22 18:22:44.193,20.2,38.2,0
296,2019-11-22 18:22:54.438,20.2,38.2,0
297,2019-11-22 18:23:04.700,20.2,38.1,0
298,2019-11-22 18:23:14.946,20.2,38.1,0
299,2019-11-22 18:23:25.207,20.2,38.1,0
300,2019-11-22 18:23:35.453,20.2,38.1,0
301,2019-11-22 18:23:45.699,20.2,38.1,0
302,2019-11-22 18:23:55.960,20.2,38.1,0
303,2019-11-22 18:24:06.206,20.2,38.2,0
304,2019-11-22 18:24:16.468,20.2,38.1,0
305,2019-11-22 18:24:26.713,20.2,38.1,0
306,2019-11-22 18:24:36.975,20.2,38.1,0
307,2019-11-22 18:24:47.221,20.2,38.2,0
308,2019-11-22 18:24:57.466,20.2,38.1,0
309,2019-11-22 18:25:07.728,20.2,38.1,0
310,2019-11-22 18:25:17.974,20.2,38.2,0
311,2019-11-22 18:25:28.235,20.2,38.1,0
312,2019-11-22 18:25:38.482,20.2,38.1,0
313,2019-11-22 18:25:48.743,20.2,38.1,0
314,2019-11-22 18:25:58.989,20.2,38.2,0
315,2019-11-22 18:26:09.235,20.2,38.2,0
316,2019-11-22 18:26:19.495,20.2,38.1,0
317,2019-11-22 18:26:29.740,20.2,38.2,0
318,2019-11-22 18:26:40.002,20.2,38.1,0
319,2019-11-22 18:26:50.247,20.2,38.1,0
320,2019-11-22 18:27:00.510,20.2,38.1,0
321,2019-11-22 18:27:10.756,20.2,38.1,0
322,2019-11-22 18:27:21.003,20.2,38.1,0
323,2019-11-22 18:27:31.264,20.2,38.1,0
324,2019-11-22 18:27:41.511,20.2,38.1,0
325,2019-11-22 18:27:51.771,20.2,38.3,0
326,2019-11-22 18:28:02.018,20.2,38.2,0
327,2019-11-22 18:28:12.280,20.2,38.1,0
328,2019-11-22 18:28:22.525,20.2,38.2,0
329,2019-11-22 18:28:32.771,20.2,38.2,0
330,2019-11-22 18:28:43.032,20.2,38.1,0
331,2019-11-22 18:28:53.277,20.1,38.2,0
332,2019-11-22 18:29:03.540,20.1,38.2,0
333,2019-11-22 18:29:13.786,20.2,38.2,0
334,2019-11-22 18:29:24.048,20.1,38.1,0
335,2019-11-22 18:29:34.294,20.1,38.1,0
336,2019-11-22 18:29:44.556,20.1,38.1,0
337,2019-11-22 18:29:54.801,20.2,38.1,0
338,2019-11-22 18:30:05.047,20.2,38.2,0
339,2019-11-22 18:30:15.308,20.1,38.1,0
340,2019-11-22 18:30:25.554,20.2,38.1,0
341,2019-11-22 18:30:35.816,20.1,38.1,0
342,2019-11-22 18:30:46.062,20.1,38.1,0
343,2019-11-22 18:30:56.322,20.1,38.1,0
344,2019-11-22 18:31:06.569,20.1,38.1,0
345,2019-11-22 18:31:16.815,20.2,38.1,0
346,2019-11-22 18:31:27.076,20.2,38.1,0
347,2019-11-22 18:31:37.322,20.1,38.1,0
348,2019-11-22 18:31:47.583,20.1,38.1,0
349,2019-11-22 18:31:57.829,20.1,38.1,0
350,2019-11-22 18:32:08.091,20.1,38.1,0
351,2019-11-22 18:32:18.336,20.1,38.2,0
352,2019-11-22 18:32:28.583,20.1,38.1,0
353,2019-11-22 18:32:38.845,20.2,38.2,0
354,2019-11-22 18:32:49.090,20.1,38.2,0
355,2019-11-22 18:32:59.351,20.1,38.1,0
356,2019-11-22 18:33:09.598,20.1,38.1,0
357,2019-11-22 18:33:19.860,20.1,38.1,0
358,2019-11-22 18:33:30.106,20.1,38.1,0
359,2019-11-22 18:33:40.352,20.1,38.1,0
360,2019-11-22 18:33:50.613,20.1,38.2,0
361,2019-11-22 18:34:00.859,20.1,38.1,0
362,2019-11-22 18:34:11.120,20.2,38.1,0
363,2019-11-22 18:34:21.366,20.1,38.1,0
364,2019-11-22 18:34:31.627,20.1,38.1,0
365,2019-11-22 18:34:41.872,20.1,38.1,0
366,2019-11-22 18:34:52.119,20.1,38.1,0
367,2019-11-22 18:35:02.381,20.1,38.1,0
368,2019-11-22 18:35:12.626,20.1,38.1,0
369,2019-11-22 18:35:22.888,20.1,38.1,0
370,2019-11-22 18:35:33.135,20.1,38.1,0
371,2019-11-22 18:35:43.396,20.1,38.1,0
372,2019-11-22 18:35:53.641,20.1,38.1,0
373,2019-11-22 18:36:03.888,20.1,38.1,0
374,2019-11-22 18:36:14.149,20.1,38.1,0
375,2019-11-22 18:36:24.394,20.1,38.1,0
376,2019-11-22 18:36:34.656,20.1,38.1,0
377,2019-11-22 18:36:44.900,20.1,38.1,0
378,2019-11-22 18:36:55.162,20.1,38.1,0
379,2019-11-22 18:37:05.410,20.1,38.1,0
380,2019-11-22 18:37:15.671,20.1,38.1,0
381,2019-11-22 18:37:25.918,20.1,38.1,0
382,2019-11-22 18:37:36.163,20.1,38.1,0
383,2019-11-22 18:37:46.424,20.1,38.1,0
384,2019-11-22 18:37:56.671,20.1,38.1,0
385,2019-11-22 18:38:06.932,20.1,38.1,0
386,2019-11-22 18:38:17.178,20.1,38.1,0
387,2019-11-22 18:38:27.440,20.1,38.1,0
388,2019-11-22 18:38:37.685,20.1,38.1,0
389,2019-11-22 18:38:47.931,20.1,38.1,0
390,2019-11-22 18:38:58.193,20.1,38.1,0
391,2019-11-22 18:39:08.438,20.1,38.1,0
392,2019-11-22 18:39:18.701,20.1,38.0,0
393,2019-11-22 18:39:28.946,20.1,38.0,0
394,2019-11-22 18:39:39.207,20.1,38.0,0
395,2019-11-22 18:39:49.452,20.1,38.0,0
396,2019-11-22 18:39:59.698,20.1,38.1,0
397,2019-11-22 18:40:09.960,20.1,38.0,0
398,2019-11-22 18:40:20.207,20.1,38.1,0
399,2019-11-22 18:40:30.468,20.1,38.1,0
400,2019-11-22 18:40:40.713,20.1,38.2,0
401,2019-11-22 18:40:50.976,20.1,38.2,0
402,2019-11-22 18:41:01.221,20.1,38.1,0
403,2019-11-22 18:41:11.467,20.1,38.1,0
404,2019-11-22 18:41:21.729,20.1,38.0,0
405,2019-11-22 18:41:31.974,20.1,38.1,0
406,2019-11-22 18:41:42.236,20.1,38.1,0
407,2019-11-22 18:41:52.482,20.1,38.1,0
408,2019-11-22 18:42:02.743,20.1,38.1,0
409,2019-11-22 18:42:12.989,20.1,38.1,0
410,2019-11-22 18:42:23.251,20.1,38.1,0
411,2019-11-22 18:42:33.496,20.1,38.0,0
412,2019-11-22 18:42:43.743,20.1,38.0,0
413,2019-11-22 18:42:54.005,20.1,38.0,0
414,2019-11-22 18:43:04.250,20.1,38.1,0
415,2019-11-22 18:43:14.512,20.1,38.1,0
416,2019-11-22 18:43:24.757,20.1,38.1,0
417,2019-11-22 18:43:35.019,20.1,38.0,0
418,2019-11-22 18:43:45.265,20.1,38.0,0
419,2019-11-22 18:43:55.510,20.1,38.1,0
420,2019-11-22 18:44:05.772,20.1,38.0,0
421,2019-11-22 18:44:16.018,20.1,38.0,0
422,2019-11-22 18:44:26.278,20.1,38.0,0
423,2019-11-22 18:44:36.524,20.1,38.0,0
