date,temperature,humidity,luminosity
2018-11-27 18:05:28.944,20.9,32.4,58
2018-11-27 18:05:26.671,20.8,32.3,58
2018-11-27 18:05:24.398,20.8,32.4,58
2018-11-27 18:05:22.128,20.8,32.4,58
2018-11-27 18:05:19.855,20.9,32.5,57
2018-11-27 18:05:17.582,20.8,32.4,58
2018-11-27 18:05:15.309,20.8,32.4,57
2018-11-27 18:05:13.036,20.8,32.4,57
2018-11-27 18:05:10.767,20.8,32.4,58
2018-11-27 18:05:08.493,20.8,32.4,58
2018-11-27 18:05:06.220,20.8,32.4,59
2018-11-27 18:05:03.947,20.8,32.4,59
2018-11-27 18:05:01.678,20.8,32.4,59
2018-11-27 18:04:59.406,20.8,32.4,59
2018-11-27 18:04:57.131,20.8,32.4,59
2018-11-27 18:04:54.858,20.8,32.4,57
2018-11-27 18:04:52.589,20.9,32.5,57
2018-11-27 18:04:50.316,20.8,32.4,57
2018-11-27 18:04:48.043,20.9,32.5,57
2018-11-27 18:04:45.769,20.9,32.5,57
2018-11-27 18:04:43.495,20.8,32.4,57
2018-11-27 18:04:41.226,20.8,32.4,57
2018-11-27 18:04:38.953,20.8,32.4,57
2018-11-27 18:04:36.680,20.9,32.5,57
2018-11-27 18:04:34.407,20.8,32.4,57
2018-11-27 18:04:32.134,20.9,32.5,57
2018-11-27 18:04:29.864,20.8,32.4,57
2018-11-27 18:04:27.591,20.8,32.4,57
2018-11-27 18:04:25.318,20.8,32.4,57
2018-11-27 18:04:23.045,20.8,32.5,58
2018-11-27 18:04:20.776,20.8,32.4,58
2018-11-27 18:04:18.503,20.9,32.5,57
2018-11-27 18:04:16.229,20.9,32.5,57
2018-11-27 18:04:13.956,20.8,32.5,57
2018-11-27 18:04:11.683,20.8,32.5,57
2018-11-27 18:04:09.414,20.8,32.5,57
2018-11-27 18:04:07.141,20.8,32.5,56
2018-11-27 18:04:04.868,20.9,32.6,56
2018-11-27 18:04:02.594,20.8,32.5,56
2018-11-27 18:04:00.321,20.9,32.6,56
2018-11-27 18:03:58.052,20.8,32.6,56
2018-11-27 18:03:55.778,20.8,32.5,57
2018-11-27 18:03:53.505,20.9,32.6,57
2018-11-27 18:03:51.231,20.8,32.6,57
2018-11-27 18:03:48.962,20.9,32.7,57
2018-11-27 18:03:46.689,20.9,32.7,57
2018-11-27 18:03:44.416,20.8,32.6,57
2018-11-27 18:03:42.143,20.8,32.6,57
2018-11-27 18:03:39.870,20.8,32.7,57
2018-11-27 18:03:37.600,20.9,32.8,56
2018-11-27 18:03:35.327,20.8,32.7,56
2018-11-27 18:03:33.054,20.8,32.7,56
2018-11-27 18:03:30.781,20.8,32.8,56
2018-11-27 18:03:28.508,20.9,32.9,56
2018-11-27 18:03:26.239,20.8,32.8,57
2018-11-27 18:03:23.965,20.8,32.7,57
2018-11-27 18:03:21.692,20.8,32.7,57
2018-11-27 18:03:19.419,20.9,32.6,56
2018-11-27 18:03:17.146,20.8,32.4,55
2018-11-27 18:03:14.877,20.8,32.4,55
2018-11-27 18:03:12.604,20.9,32.5,56
2018-11-27 18:03:10.330,20.9,32.5,56
2018-11-27 18:03:08.057,20.9,32.5,55
2018-11-27 18:03:05.787,20.8,32.4,55
2018-11-27 18:03:03.514,20.8,32.4,55
