date,temperature,humidity,luminosity
2018-11-27 19:19:48.503,20.7,28.3,125
2018-11-27 19:19:46.226,20.7,28.3,125
2018-11-27 19:19:43.948,20.7,28.3,126
2018-11-27 19:19:41.667,20.7,28.3,125
2018-11-27 19:19:39.389,20.7,28.3,126
2018-11-27 19:19:37.112,20.7,28.3,124
2018-11-27 19:19:34.831,20.7,28.4,125
2018-11-27 19:19:32.553,20.7,28.4,125
2018-11-27 19:19:30.276,20.7,28.4,125
2018-11-27 19:19:27.999,20.7,28.4,125
2018-11-27 19:19:25.717,20.7,28.3,125
2018-11-27 19:19:23.440,20.7,28.4,125
2018-11-27 19:19:21.163,20.7,28.4,121
2018-11-27 19:19:18.886,20.7,28.4,122
2018-11-27 19:19:16.604,20.7,28.4,122
2018-11-27 19:19:14.327,20.7,28.4,120
2018-11-27 19:19:12.049,20.7,28.5,122
2018-11-27 19:19:09.768,20.7,28.5,119
2018-11-27 19:19:07.490,20.7,28.6,121
2018-11-27 19:19:05.213,20.7,28.6,121
2018-11-27 19:19:02.936,20.7,28.6,120
2018-11-27 19:19:00.653,20.7,28.6,120
2018-11-27 19:18:58.376,20.7,28.6,122
2018-11-27 19:18:56.099,20.7,28.6,122
2018-11-27 19:18:53.818,20.7,28.6,121
2018-11-27 19:18:51.541,20.7,28.6,121
2018-11-27 19:18:49.263,20.7,28.6,121
2018-11-27 19:18:46.986,20.7,28.6,120
2018-11-27 19:18:44.705,20.7,28.6,120
2018-11-27 19:18:42.427,20.7,28.6,121
2018-11-27 19:18:40.149,20.7,28.6,121
2018-11-27 19:18:37.868,20.7,28.6,121
2018-11-27 19:18:35.591,20.7,28.6,119
2018-11-27 19:18:33.314,20.7,28.6,120
2018-11-27 19:18:31.036,20.7,28.6,120
2018-11-27 19:18:28.755,20.7,28.6,121
2018-11-27 19:18:26.478,20.7,28.6,121
2018-11-27 19:18:24.200,20.7,28.6,120
2018-11-27 19:18:21.918,20.7,28.6,121
2018-11-27 19:18:19.641,20.7,28.6,120
2018-11-27 19:18:17.364,20.7,28.6,120
2018-11-27 19:18:15.082,20.7,28.6,121
2018-11-27 19:18:12.805,20.6,28.5,121
2018-11-27 19:18:10.528,20.7,28.6,122
2018-11-27 19:18:08.251,20.6,28.5,121
2018-11-27 19:18:05.969,20.7,28.6,120
2018-11-27 19:18:03.692,20.7,28.6,121
2018-11-27 19:18:01.417,20.7,28.6,121
2018-11-27 19:17:59.134,20.7,28.6,121
2018-11-27 19:17:56.857,20.7,28.6,121
2018-11-27 19:17:54.579,20.7,28.6,121
2018-11-27 19:17:52.302,20.6,28.5,120
2018-11-27 19:17:50.020,20.7,28.6,125
2018-11-27 19:17:47.743,20.7,28.6,126
2018-11-27 19:17:45.466,20.7,28.6,125
2018-11-27 19:17:43.184,20.7,28.6,125
2018-11-27 19:17:40.907,20.7,28.6,125
2018-11-27 19:17:38.630,20.7,28.6,125
2018-11-27 19:17:36.352,20.7,28.6,125
2018-11-27 19:17:34.071,20.7,28.6,125
2018-11-27 19:17:31.794,20.7,28.6,126
2018-11-27 19:17:29.516,20.7,28.6,123
2018-11-27 19:17:27.235,20.7,28.6,125
2018-11-27 19:17:24.958,20.7,28.6,125
2018-11-27 19:17:22.680,20.7,28.6,125
2018-11-27 19:17:20.403,20.7,28.6,125
2018-11-27 19:17:18.123,20.7,28.6,125
2018-11-27 19:17:15.845,20.7,28.6,125
2018-11-27 19:17:13.567,20.7,28.6,125
2018-11-27 19:17:11.286,20.7,28.6,126
2018-11-27 19:17:09.009,20.7,28.6,125
2018-11-27 19:17:06.731,20.7,28.6,125
2018-11-27 19:17:04.454,20.6,28.5,125
2018-11-27 19:17:02.173,20.7,28.6,125
2018-11-27 19:16:59.895,20.7,28.6,125
2018-11-27 19:16:57.618,20.7,28.6,126
2018-11-27 19:16:55.337,20.7,28.7,125
2018-11-27 19:16:53.058,20.7,28.7,125
2018-11-27 19:16:50.781,20.7,28.7,125
2018-11-27 19:16:48.500,20.6,28.7,126
2018-11-27 19:16:46.222,20.7,28.7,125
2018-11-27 19:16:43.945,20.7,28.8,123
2018-11-27 19:16:41.668,20.7,28.8,124
2018-11-27 19:16:39.387,20.7,28.8,123
2018-11-27 19:16:37.109,20.7,28.9,123
2018-11-27 19:16:34.832,20.7,28.9,123
2018-11-27 19:16:32.555,20.7,28.9,123
2018-11-27 19:16:30.273,20.7,28.9,124
2018-11-27 19:16:27.996,20.7,28.9,123
2018-11-27 19:16:25.719,20.7,29.0,123
2018-11-27 19:16:23.442,20.6,28.9,123
2018-11-27 19:16:21.160,20.7,29.1,123
2018-11-27 19:16:18.883,20.7,29.1,124
2018-11-27 19:16:16.606,20.7,29.1,123
2018-11-27 19:16:14.328,20.7,29.1,123
2018-11-27 19:16:12.047,20.7,29.2,123
2018-11-27 19:16:09.770,20.7,29.2,123
2018-11-27 19:16:07.492,20.7,29.2,124
2018-11-27 19:16:05.210,20.7,29.3,124
2018-11-27 19:16:02.933,20.7,29.4,126
2018-11-27 19:16:00.655,20.7,29.4,126
2018-11-27 19:15:58.378,20.7,29.4,126
2018-11-27 19:15:56.097,20.7,29.4,126
2018-11-27 19:15:53.820,20.7,29.3,123
2018-11-27 19:15:51.544,20.7,29.2,123
2018-11-27 19:15:49.265,20.7,29.2,123
2018-11-27 19:15:46.985,20.7,29.1,122
2018-11-27 19:15:44.707,20.7,29.1,122
2018-11-27 19:15:42.426,20.7,29.2,97
2018-11-27 19:15:40.148,20.7,29.2,122
2018-11-27 19:15:37.871,20.7,29.2,127
2018-11-27 19:15:35.593,20.6,29.2,127
2018-11-27 19:15:33.316,20.7,29.3,128
2018-11-27 19:15:31.035,20.6,29.2,126
2018-11-27 19:15:28.757,20.6,29.2,126
2018-11-27 19:15:26.480,20.6,29.2,127
2018-11-27 19:15:24.203,20.6,29.2,127
2018-11-27 19:15:21.922,20.6,29.3,128
2018-11-27 19:15:19.644,20.7,29.4,126
2018-11-27 19:15:17.366,20.6,29.3,127
2018-11-27 19:15:15.089,20.7,29.5,127
2018-11-27 19:15:12.808,20.6,29.4,128
2018-11-27 19:15:10.531,20.6,29.4,127
2018-11-27 19:15:08.253,20.7,29.5,126
2018-11-27 19:15:05.971,20.7,29.5,127
2018-11-27 19:15:03.694,20.7,29.5,126
2018-11-27 19:15:01.416,20.7,29.5,127
2018-11-27 19:14:59.138,20.7,29.5,128
2018-11-27 19:14:56.857,20.7,29.4,127
2018-11-27 19:14:54.580,20.6,29.3,127
2018-11-27 19:14:52.302,20.6,29.3,126
2018-11-27 19:14:50.021,20.6,29.2,127
2018-11-27 19:14:47.745,20.6,29.2,128
2018-11-27 19:14:45.466,20.6,29.2,127
2018-11-27 19:14:43.189,20.6,29.2,127
2018-11-27 19:14:40.908,20.7,29.3,126
2018-11-27 19:14:38.630,20.6,29.2,126
2018-11-27 19:14:36.353,20.7,29.3,128
2018-11-27 19:14:34.075,20.6,29.2,127
2018-11-27 19:14:31.794,20.6,29.3,128
2018-11-27 19:14:29.517,20.7,29.4,128
2018-11-27 19:14:27.240,20.7,29.3,128
2018-11-27 19:14:24.962,20.7,29.3,129
2018-11-27 19:14:22.681,20.7,29.3,127
2018-11-27 19:14:20.403,20.7,29.2,122
2018-11-27 19:14:18.126,20.6,29.2,122
2018-11-27 19:14:15.845,20.7,29.2,122
2018-11-27 19:14:13.568,20.7,29.2,123
2018-11-27 19:14:11.290,20.7,29.2,121
2018-11-27 19:14:09.012,20.7,29.3,122
2018-11-27 19:14:06.731,20.7,29.2,121
2018-11-27 19:14:04.454,20.7,29.3,121
2018-11-27 19:14:02.176,20.7,29.3,122
2018-11-27 19:13:59.900,20.7,29.3,121
2018-11-27 19:13:57.619,20.7,29.3,122
2018-11-27 19:13:55.342,20.7,29.3,121
2018-11-27 19:13:53.065,20.7,29.3,121
2018-11-27 19:13:50.783,20.6,29.2,122
2018-11-27 19:13:48.506,20.7,29.2,121
2018-11-27 19:13:46.229,20.7,29.1,122
2018-11-27 19:13:43.951,20.7,29.0,121
2018-11-27 19:13:41.670,20.7,28.9,121
2018-11-27 19:13:39.392,20.6,28.8,122
2018-11-27 19:13:37.115,20.6,28.8,121
2018-11-27 19:13:34.838,20.7,28.8,122
2018-11-27 19:13:32.556,20.7,28.8,121
2018-11-27 19:13:30.279,20.7,28.8,121
2018-11-27 19:13:28.002,20.7,28.7,122
2018-11-27 19:13:25.724,20.7,28.7,121
2018-11-27 19:13:23.442,20.7,28.6,122
2018-11-27 19:13:21.166,20.7,28.6,121
2018-11-27 19:13:18.887,20.7,28.6,121
2018-11-27 19:13:16.606,20.7,28.6,121
2018-11-27 19:13:14.329,20.7,28.6,122
