date,temperature,humidity,luminosity
2018-11-27 18:35:07.503,21.8,31.6,39
2018-11-27 18:35:05.225,21.8,31.7,39
2018-11-27 18:35:02.952,21.8,31.8,39
2018-11-27 18:35:00.675,21.8,31.9,39
2018-11-27 18:34:58.398,21.8,32.0,39
2018-11-27 18:34:56.124,21.8,32.0,39
2018-11-27 18:34:53.847,21.8,32.1,39
2018-11-27 18:34:51.574,21.8,32.2,39
2018-11-27 18:34:49.297,21.8,32.3,39
2018-11-27 18:34:47.018,21.8,32.4,53
2018-11-27 18:34:44.745,21.8,32.5,46
2018-11-27 18:34:42.468,21.8,32.6,46
2018-11-27 18:34:40.191,21.8,32.7,50
2018-11-27 18:34:37.917,21.8,32.9,50
2018-11-27 18:34:35.640,21.8,32.9,49
2018-11-27 18:34:33.367,21.8,32.7,51
2018-11-27 18:34:31.090,21.8,32.5,52
2018-11-27 18:34:28.812,21.8,32.4,49
2018-11-27 18:34:26.539,21.8,32.4,49
2018-11-27 18:34:24.262,21.8,32.4,48
2018-11-27 18:34:21.984,21.8,32.5,49
2018-11-27 18:34:19.711,21.8,32.5,48
2018-11-27 18:34:17.434,21.8,32.6,48
2018-11-27 18:34:15.161,21.8,32.5,49
2018-11-27 18:34:12.884,21.8,32.4,50
2018-11-27 18:34:10.606,21.8,32.2,43
2018-11-27 18:34:08.333,21.8,31.9,44
2018-11-27 18:34:06.056,21.8,31.3,43
2018-11-27 18:34:03.777,21.8,30.9,44
2018-11-27 18:34:01.504,21.8,31.0,44
2018-11-27 18:33:59.227,21.8,31.0,45
2018-11-27 18:33:56.954,21.8,31.0,47
2018-11-27 18:33:54.677,21.8,31.0,46
2018-11-27 18:33:52.399,21.8,31.1,45
2018-11-27 18:33:50.126,21.8,31.1,46
2018-11-27 18:33:47.849,21.8,31.1,45
2018-11-27 18:33:45.571,21.8,31.0,44
2018-11-27 18:33:43.298,21.8,31.0,43
2018-11-27 18:33:41.021,21.8,31.0,45
2018-11-27 18:33:38.748,21.8,31.1,45
2018-11-27 18:33:36.470,21.8,31.1,47
2018-11-27 18:33:34.193,21.8,31.1,46
2018-11-27 18:33:31.920,21.8,31.0,48
2018-11-27 18:33:29.643,21.8,31.1,50
2018-11-27 18:33:27.365,21.8,31.1,53
2018-11-27 18:33:25.092,21.8,31.0,50
2018-11-27 18:33:22.814,21.8,31.0,50
2018-11-27 18:33:20.537,21.8,31.0,49
2018-11-27 18:33:18.264,21.8,30.9,50
